"","id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type"
"29213","Yu2+UaUfX591Ue/165kBVA==","Recoleta",4,2,85,76,265000,"Departamento"
"29214","xMfLoT95zzGS9KUd4DxzQw==","Balvanera",4,1,56,54,143000,"Departamento"
"29215","8pleM1NE5XUIyGTUcGWQGg==","Caballito",4,4,160,148,420000,"Departamento"
"29216","kzZslc1z2jUou9ela69E/g==","Parque Chacabuco",6,2,173,170,409000,"Departamento"
"29217","fRsQg5eghQifs1SCx7LI8g==","Villa General Mitre",4,2,58,53,120000,"Departamento"
"29218","s5pwC9jzR/rv+xAe0L0dNg==","Paternal",5,2,149,149,270000,"PH"
"29219","SHiqZ5WDM1VY5eIYCaYGUw==","Palermo",5,4,231,200,695000,"Departamento"
"29220","IM4bfMjWvzoNUjQxPSnrKA==","Caballito",5,4,170,160,370000,"Departamento"
"29221","A/8yJUpGQ+gsOQxWm2CHyw==","Once",7,2,190,190,260000,"PH"
"29222","e5cPat9nlkBSip0ng9z/9g==","Villa Crespo",8,1,140,140,180000,"Departamento"
"29223","AVvtkN2UkW3N5hUOWh8JWg==","Once",8,1,180,180,299000,"PH"
"29224","8vR3VUQzD53UprBepmAt4A==","Flores",6,2,200,135,279000,"PH"
"29225","F0TFYiIdBge0fvsh7wtN6w==","Balvanera",4,1,73,73,148000,"PH"
"29226","3Gn9iXDUInagPo9kkshF4w==","San Telmo",4,1,58,38,145000,"PH"
"29227","kF0z52zDyB1RG2LRQfLoOQ==","Constitución",4,1,58,38,145000,"PH"
"29228","6RhVFUsOn0a+C6fJUSpytg==","Villa Santa Rita",2,1,131,50,154000,"PH"
"29229","66rZHMP+U7GBALduliYF3Q==","Chacarita",4,4,188,129,750000,"Casa"
"29230","7k6qa3Ya5SRm2U9wnYQ48w==","Once",3,1,53,53,110000,"Departamento"
"29231","moITJR7eHfKen35A/3gQGg==","Flores",1,1,36,28,85000,"Departamento"
"29232","/l27wDyX+5ZDlwlilq5cWA==","Flores",4,1,77,73,135000,"Departamento"
"29233","YMMnOgYD2ZxWonr5r/09pg==","Nuñez",2,1,54,50,160000,"Departamento"
"29234","O/XpodlPo7djFlhURkBtwA==","Nuñez",1,1,48,39,140000,"Departamento"
"29235","7nX6SQpfnrKjwFBTypeB8Q==","Nuñez",1,1,49,35,125000,"Departamento"
"29236","6HHQO0t6tLKnu5vVjuvk3A==","Nuñez",1,1,41,41,115000,"Departamento"
"29237","RYad94IGuUxW3KSjqqLa5w==","Nuñez",2,1,45,34,202000,"Departamento"
"29238","Xz9hhTxSPOtoIpY6TxKdUg==","Nuñez",1,1,45,34,143000,"Departamento"
"29239","XdYxajmvRxiAE0F26robSg==","Retiro",2,1,50,46,175000,"Departamento"
"29240","FKtNx9V3sOSrkhulWce//w==","Retiro",1,1,34,34,139000,"Departamento"
"29241","8YIzbpjThhA+4w7H7ZhT9Q==","Almagro",1,1,34,29,104900,"Departamento"
"29242","o5rMBwm5RiMcpcFu1bYApw==","Almagro",1,1,43,39,94000,"Departamento"
"29243","dGvjiN1HNIaSAp/fcJHyYg==","Almagro",1,1,34,29,98900,"Departamento"
"29244","5cc4TBNW5At+6wl9ijd7Zw==","Coghlan",1,1,37,33,105000,"Departamento"
"29245","oA4uWCpcEu5ECmmDRJBmAQ==","Liniers",3,1,55,53,120000,"Departamento"
"29246","1UjbzChGpS1eAcUhrPrIZA==","Palermo",1,1,41,38,160000,"Departamento"
"29247","CMO06ozUM8KuTRR4Nok8LA==","Palermo",1,1,31,28,128000,"Departamento"
"29248","/90KIkQ8/+HpMooGNqgyaQ==","Palermo",1,1,28,28,95000,"Departamento"
"29249","u/BleZz8HyRdbfmVP+SN1g==","Palermo",1,1,44,34,144441,"Departamento"
"29250","6gHQUgmJTvZjc+025WpEYA==","Palermo",1,1,62,34,165000,"Departamento"
"29251","kVHMh27KlgmrwiI7divo/g==","Palermo",1,2,65,60,170000,"Departamento"
"29252","IbPH/Fa0lCec9ThNTP16cg==","Palermo",3,4,145,145,375000,"Departamento"
"29253","cbY2vfc44GDoqwewEOAyWw==","Palermo",1,1,29,29,77000,"Departamento"
"29254","4LVU+moiL45Sn2OJv6kxaA==","Palermo",1,1,50,44,149410,"Departamento"
"29255","5iQ7WjO596ljvUmXtLuOOQ==","Palermo",1,1,31,28,128000,"Departamento"
"29256","DuyY0y6rEFzwBVVgglS+Hg==","Palermo",1,1,30,30,93000,"Departamento"
"29257","TR3Nckyi/8AzzxTMITdNIw==","Pompeya",2,1,36,36,78000,"Departamento"
"29258","0I+r8pMyVpjZDrzUYNjpyA==","Barracas",3,1,39,39,88000,"Departamento"
"29259","vbPJJj+GV6KZxMTcEzaGKQ==","Belgrano",3,2,84,84,485000,"Departamento"
"29260","wqfLbLUE7LdT1br4giwRFg==","Belgrano",1,1,38,35,130000,"Departamento"
"29261","dnzby+EbfZucwb4JK9QTew==","Belgrano",3,1,67,59,205000,"Departamento"
"29262","tUuWfRXjYxUmiMUGGtyh5Q==","Belgrano",2,1,80,70,199000,"Departamento"
"29263","wqMGB2wwVwLcx8fhwlYeaA==","Belgrano",1,1,31,31,95000,"Departamento"
"29264","NzAuej3kfvm6Xq94SfIc6Q==","Belgrano",4,1,105,98,395000,"Departamento"
"29265","hgI6G7ATdqR9ZGr3E0/G8g==","Belgrano",1,1,34,31,102000,"Departamento"
"29266","xaObkts2dJG3Ss3P/v9mPw==","Belgrano",1,1,37,33,105000,"Departamento"
"29267","DPSWjrZxWfEzOPw7zInJgw==","Belgrano",1,1,38,35,130000,"Departamento"
"29268","jighoEiwoy2M9J7159ly6A==","Belgrano",1,1,58,54,165000,"Departamento"
"29269","A5NoE12UwNROtjMgg1zEHQ==","Belgrano",3,4,135,128,660000,"Departamento"
"29270","pMbv3nhAtVk5yFE6Uj1sdA==","Belgrano",1,1,46,39,165000,"Departamento"
"29271","ueTLhu8P38hzG0fjuwvLEA==","Paternal",2,1,44,40,110000,"Departamento"
"29272","AJXxR3rjDKGJ3LnOyhtKhw==","Paternal",2,1,44,40,112000,"Departamento"
"29273","PsCjZYgi5onz7y3m3TtyUQ==","Recoleta",2,1,64,41,225000,"Departamento"
"29274","GyjqDlR3I+v7FW/VYW9c7g==","Recoleta",6,2,180,180,620000,"Departamento"
"29275","R2CzgmEFt1uwPsJcRsMzCQ==","Recoleta",4,2,106,95,349000,"Departamento"
"29276","wV/l2eUT1bznxd1DBTkGwA==","Recoleta",3,1,48,48,145000,"Departamento"
"29277","YQuHSBp1/LNWMsY17xn8iw==","Caballito",4,3,154,142,450000,"Departamento"
"29278","E1VozCpKWTs2VsWE2nQLFA==","Caballito",1,1,39,39,95000,"Departamento"
"29279","KbeDzdopolwRPwy2alPTaQ==","Caballito",4,1,77,69,220000,"Departamento"
"29280","Z8SFC/0/SiEbUeNmouaynw==","Caballito",2,1,42,42,80000,"Departamento"
"29281","mwgVQKZfkbbjSLvhde+w8A==","Caballito",1,1,38,33,93600,"Departamento"
"29282","yR63VT3ud9ACRK2LNfvA8w==","Caballito",2,1,48,44,97500,"Departamento"
"29283","20KYFNtKSWr4XF85iKejIg==","Monserrat",1,1,36,34,90000,"Departamento"
"29284","tGo7cmGTKLsnOtqdegmsPA==","San Telmo",3,2,68,65,270000,"Departamento"
"29285","382bdPa3xJGsC9CaBt9xqw==","Barrio Norte",1,1,34,29,120000,"Departamento"
"29286","wPs25ryHRWpsZc6rv1+0lw==","Barrio Norte",1,1,45,35,170000,"Departamento"
"29287","aATlIhoUxwwtWQyyZzsO7A==","Barrio Norte",2,1,43,43,95000,"Departamento"
"29288","eM1RMSWbSrdg+TxsIUjWyQ==","Barrio Norte",1,1,45,35,147000,"Departamento"
"29289","1Yd32RR6AkWlR6PZDV+opw==","Barrio Norte",1,1,34,29,120000,"Departamento"
"29290","VG66ShGJHqUrl06QlZ/JzQ==","Barrio Norte",1,1,45,35,270000,"Departamento"
"29291","KwbArpivPvzEeKFY/Rvckw==","Barrio Norte",1,1,34,29,130000,"Departamento"
"29292","vPXkjZGRJQCQj+fwuzBo6A==","San Nicolás",3,2,80,80,152000,"Departamento"
"29293","3zG9VW9HYxaXmxLOgE+yPg==","San Nicolás",3,2,80,80,152000,"Departamento"
"29294","6T6VTlwczwt6UXrk8bE2zg==","Villa Crespo",1,1,36,33,110000,"Departamento"
"29295","WQuORzr7Kk1afuOvXwV8Sw==","Villa Crespo",2,1,64,45,149500,"Departamento"
"29296","K9nhBR9D9Lgj1Ub8GkrL7g==","Villa Crespo",2,1,40,40,105000,"Departamento"
"29297","EpJ0WVv7ayD2O1epm9LzSA==","Villa Crespo",1,1,44,40,118125,"Departamento"
"29298","8wQYt50/Xh7vNrZm67enVA==","Villa Crespo",1,1,38,28,69500,"Departamento"
"29299","eFZYkZ/z0S9sBOUWMu0SAw==","Villa Crespo",1,1,35,30,90000,"Departamento"
"29300","y99qPxA8NBQ6a0c69KjpHg==","Villa Crespo",1,1,44,40,118125,"Departamento"
"29301","mtqeirGSutcFrQEjESoV7A==","Villa Devoto",1,1,50,36,117000,"Departamento"
"29302","TcKu03M52e5bHXGWmIOrZQ==","Villa Devoto",1,1,43,35,109000,"Departamento"
"29303","xHwnxYMNtXGc1oY40I+OTw==","Villa Devoto",1,1,66,53,166000,"Departamento"
"29304","vJ+XAhuk40oqE5opa/sZhA==","Villa Devoto",1,1,43,35,110000,"Departamento"
"29305","7EnPMIYDMStfpDiKgOhxgQ==","Villa Lugano",4,1,75,75,75000,"Departamento"
"29306","7Oz12Fxo8kwW5X8TKrIRmA==","Puerto Madero",1,1,54,54,330000,"Departamento"
"29307","0lSyn2rJhsMp9wOt/H1VWQ==","San Cristobal",1,1,35,32,79000,"Departamento"
"29308","QcxBi8fCl7a/faE3YXNYuQ==","Villa Urquiza",1,1,34,28,109000,"Departamento"
"29309","qg5KAjbT4QNouWfSHc7GfA==","Villa Urquiza",1,1,44,37,127000,"Departamento"
"29310","15/2L5oGkec0V5USZsODjg==","Villa Urquiza",3,2,80,80,255000,"Departamento"
"29311","kzoN7Ljwl5+6DUehKPbNeA==","Villa Urquiza",3,1,63,60,170000,"Departamento"
"29312","z0QbjTjsHCEml53UVR/T6w==","Villa Urquiza",3,1,63,44,149800,"Departamento"
